video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes,frame_new
30626,666,Pisces,Corals associated fauna > Pisces,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1357.5,462.7]]",[394.344256],30635,2025-02-17T14:28:14Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",394.344256
30627,685,Pisces,Fauna > Pisces,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1327.37,391.71]]",[394.344256],30636,2025-02-17T14:28:18Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",394.344256
30634,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[819.11,883.9]]",[400.038968],30643,2025-02-17T14:47:05Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",400.038968
30635,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[825.13,864.48]]",[400.038968],30644,2025-02-17T14:47:06Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",400.038968
30656,445,Bivalvia stet.,Fauna > Bivalvia stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[538.53,219.62]]",[402.29679],30665,2025-02-17T15:10:21Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",402.29679
30657,445,Bivalvia stet.,Fauna > Bivalvia stet.,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[530.49,148.63]]",[402.29679],30666,2025-02-17T15:10:22Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",402.29679
30636,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[819.11,887.25]]",[410.019195],30645,2025-02-17T14:48:33Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.019195
30637,322,Laser points,Laser points,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[826.47,863.14]]",[410.019195],30646,2025-02-17T14:48:35Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.019195
30658,474,Desmophyllum pertusum,VME stony corals > Desmophyllum pertusum,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[643.66,406.45]]",[410.376169],30667,2025-02-17T15:14:45Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.376169
30659,469,mucus undeterminable,VME species mucus production > mucus undeterminable,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[616.21,440.6]]",[410.376169],30668,2025-02-17T15:14:54Z,"{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}",410.376169
