datetime,videotime,lon,lat,depth,LON2,LAT2,depth_interpolated,videotime_interpolated,xsmoothed,ysmoothed
2022-03-01T10:51:54Z,00:04:43,15.27924983,68.029202,350.9,15.27924983,68.029202,350.9,283,15.279252416499851,68.02920423493642
2022-03-01T10:51:56Z,00:04:43,15.27924983,68.029202,349.7,15.27924983,68.029202,349.7,283,15.279241657652323,68.02920162890362
2022-03-01T10:51:58Z,00:04:48,15.2791085,68.029199,349.6,15.2791085,68.029199,349.6,288,15.279235629086203,68.02919877177185
2022-03-01T10:52:00Z,00:04:49,15.27923633,68.02918283,349.5,15.27923633,68.02918283,349.5,289,15.279234013260085,68.02919597191477
2022-03-01T10:52:02Z,00:04:51,15.27924217,68.02918767,349.4,15.27924217,68.02918767,349.4,291,15.279236322372594,68.02919347019001
2022-03-01T10:52:04Z,00:04:53,15.279269,68.0291985,349.5,15.279269,68.0291985,349.5,293,15.279241387582474,68.02919123739103
2022-03-01T10:52:06Z,00:04:55,15.27928217,68.0291915,349.9,15.27928217,68.0291915,349.9,295,15.279247869788497,68.0291891767953
2022-03-01T10:52:08Z,00:04:59,15.27925533,68.02919717,351.8,15.27925533,68.02919717,351.8,299,15.279254429889443,68.0291871916803
2022-03-01T10:52:10Z,00:05:01,15.27926317,68.02918633,349,15.27926317,68.02918633,349,301,15.27925972878409,68.02918518532347
2022-03-01T10:52:12Z,00:05:02,15.27926867,68.029183,348.9,15.27926867,68.029183,348.9,302,15.27926265768331,68.02918315008488
2022-03-01T10:52:14Z,00:05:04,15.27925783,68.029181500000007,348.6,15.27925783,68.029181500000007,348.6,304,15.279263029046398,68.02918143465502
2022-03-01T10:52:16Z,00:05:06,15.27927167,68.02917933,348.6,15.27927167,68.02917933,348.6,306,15.27926088564476,68.02918047680691
2022-03-01T10:52:18Z,00:05:08,15.27927733,68.02917817,348.7,15.27927733,68.02917817,348.7,308,15.279256270249792,68.02918071431363
2022-03-01T10:52:20Z,00:05:10,15.279254,68.02917767,348.2,15.279254,68.02917767,348.2,310,15.279249524523525,68.02918247597619
2022-03-01T10:52:22Z,00:05:12,15.27927417,68.029173170000007,348,15.27927417,68.029173170000007,348,312,15.279242185690482,68.02918565470719
2022-03-01T10:52:24Z,00:05:14,15.27924583,68.02917783,347.7,15.27924583,68.02917783,347.7,314,15.279236089865817,68.02919003444728
2022-03-01T10:52:26Z,00:05:15,15.27920983,68.02919167,347.9,15.27920983,68.02919167,347.9,315,15.279233073164676,68.02919539913702
2022-03-01T10:52:28Z,00:05:17,15.27919183,68.02920117,347.4,15.27919183,68.02920117,347.4,317,15.279234562339255,68.02920144494514
2022-03-01T10:52:30Z,00:05:19,15.279197,68.0292115,348.8,15.279197,68.0292115,348.8,319,15.279240346689887,68.02920751695285
2022-03-01T10:52:32Z,00:05:21,15.27922333,68.02921883,347.2,15.27922333,68.02921883,347.2,321,15.279249806153945,68.02921287246946
2022-03-01T10:52:34Z,00:05:25,15.2792645,68.0292235,346.7,15.2792645,68.0292235,346.7,325,15.2792623206688,68.02921676880435
2022-03-01T10:52:36Z,00:05:27,15.279271,68.02922933,346.4,15.279271,68.02922933,346.4,327,15.279277270171837,68.02921846326686
2022-03-01T10:52:38Z,00:05:28,15.27929467,68.02923033,346.5,15.27929467,68.02923033,346.5,328,15.279293840228458,68.02921745434895
2022-03-01T10:52:40Z,00:05:30,15.27932783,68.02922617,348.6,15.27932783,68.02922617,348.6,330,15.279310438916292,68.02921420527318
2022-03-01T10:52:42Z,00:05:32,15.27935617,68.029212329999993,347.6,15.27935617,68.029212329999993,347.6,332,15.27932527994099,68.02920942044474
2022-03-01T10:52:44Z,00:05:34,15.27936767,68.0292015,347.3,15.27936767,68.0292015,347.3,334,15.279336577008209,68.029203804268775
2022-03-01T10:52:46Z,00:05:36,15.279349,68.02918817,347.4,15.279349,68.02918817,347.4,336,15.279342930732026,68.02919797152197
2022-03-01T10:52:48Z,00:05:38,15.27933817,68.02917617,347.5,15.27933817,68.02917617,347.5,338,15.279344489360154,68.02919217846654
2022-03-01T10:52:50Z,00:05:40,15.27933783,68.02917533,347.8,15.27933783,68.02917533,347.8,340,15.27934178804875,68.02918659173623
2022-03-01T10:52:52Z,00:05:41,15.27935667,68.0291835,348.2,15.27935667,68.0291835,348.2,341,15.279335361953938,68.0291813779648
2022-03-01T10:52:54Z,00:05:43,15.2793355,68.02918383,347,15.2793355,68.02918383,347,343,15.279325904197831,68.02917670495246
2022-03-01T10:52:56Z,00:05:45,15.27932217,68.029176,346.6,15.27932217,68.029176,346.6,345,15.279314739766395,68.0291727451653
2022-03-01T10:52:58Z,00:05:47,15.279337,68.02918333,345,15.279337,68.02918333,345,347,15.279303351611572,68.02916967223602
