X,Y,laser_frames,width,height,datetime,videotime,lon,lat,depth,elapsed_seconds,LON2,LAT2,depth_interpolated,videotime_interpolated,distance_3d,distance_travelled,bin
513170.86626809346,7541809.926471395,NA,2.684650412586759,1.510115857080052,2021-01-08T09:11:47Z,00:23:24,15.31492483,67.990242,622.3,1402,15.31492483,67.990242,622.3,1402,0.3880408935016125,501.0146202586259,"(500,600]"
513169.67235415056,7541810.310611832,NA,2.729338644001117,1.5352529872506286,2021-01-08T09:11:48Z,00:23:25,15.31489633,67.9902455,622.1,1403,15.31489633,67.9902455,622.1,1403,1.2700371561642014,502.2846574147901,"(500,600]"
513169.54660427105,7541810.365717404,NA,2.7740268754154753,1.5603901174212051,2021-01-08T09:11:49Z,NA,NA,NA,NA,NA,15.31489333,67.990246,622,1404,0.16985186552901588,502.4545092803191,"(500,600]"
513169.4208543969,7541810.420822981,NA,2.818715106829834,1.5855272475917817,2021-01-08T09:11:50Z,00:23:27,15.31489033,67.9902465,621.9,1405,15.31489033,67.9902465,621.9,1405,0.16985186337727398,502.6243611436964,"(500,600]"
513169.20632434625,7541810.580650935,NA,2.863403338244192,1.610664377762358,2021-01-08T09:11:51Z,NA,NA,NA,NA,NA,15.31488522,67.99024794333333,621.9,1406,0.26752218141687995,502.89188332511327,"(500,600]"
513168.9917943223,7541810.740478906,NA,2.9080915696585503,1.6358015079329344,2021-01-08T09:11:52Z,NA,NA,NA,NA,NA,15.31488011,67.99024938666666,621.9,1407,0.267522170007202,503.1594054951205,"(500,600]"
513168.7772643249,7541810.900306897,NA,2.9527798010729085,1.660938638103511,2021-01-08T09:11:53Z,00:23:31,15.314875,67.99025083,621.9,1408,15.314875,67.99025083,621.9,1408,0.26752216100986886,503.4269276561303,"(500,600]"
513168.6159285606,7541811.085677602,NA,2.9974680324872667,1.6860757682740874,2021-01-08T09:11:54Z,NA,NA,NA,NA,NA,15.314871165,67.9902525,621.95,1409,0.25078183172269214,503.677709487853,"(500,600]"
513168.4545928197,7541811.271048315,[1410.82686],3.042156263901625,1.711212898444664,2021-01-08T09:11:55Z,00:23:33,15.31486733,67.99025417,622,1410,15.31486733,67.99025417,622,1410,0.25078182228865126,503.9284913101417,"(500,600]"
513168.5211646003,7541811.215641175,NA,3.0239762034004434,1.7009866144127497,2021-01-08T09:11:56Z,NA,NA,NA,NA,NA,15.314868915,67.99025367,622.05,1411,0.10000876499774936,504.0285000751394,"(500,600]"
